tconst,titleType,originalTitle,isAdult,startYear,genres,averageRating,numVotes,description
tt0101764,movie,Double Impact,0,1991,"Action,Crime",5.6,43361,english duke inadvertedly dragged modern day new york
tt8388508,movie,Dear Comrade,0,2019,"Action,Drama,Romance",7.3,9667,couple driving cemetery looking inspiration horror story encounters
tt0120199,movie,Space Truckers,0,1996,"Adventure,Comedy,Sci-Fi",5.4,8491,man
tt6045466,movie,Madame,0,2017,"Comedy,Drama,Romance",6.1,8454,singing rodeo rider hires expensive allwomen dude ranch
tt1100051,movie,Bereavement,0,2010,"Crime,Horror,Thriller",5.0,7926,nazi scientist invents time machine enabling go back
tt0075462,movie,¿Quién puede matar a un niño?,0,1976,"Horror,Mystery,Thriller",7.2,7910,werner gilbert two yearolds holt wolzow pulled school
tt5946852,movie,Janatha Garage,0,2016,"Action,Crime,Drama",7.2,7897,jacques cournot freelance skipper hired mr hendrix santo
tt3612320,movie,Crawlspace,0,2016,"Horror,Thriller",5.1,7873,greece early part th century two brothers wealthy
tt0120788,movie,Permanent Midnight,0,1998,"Biography,Drama,Romance",6.2,7844,ordinary man criminals chosen carry drugs jewels car
tt3776826,movie,Operation Avalanche,0,2016,"Comedy,Drama,Mystery",6.1,7842,boy chronicle alone indictment fascist regime running roughshod
tt0092105,movie,Tough Guys,0,1986,"Comedy,Crime",6.2,7744,dedicated bachelor drunkenly marries young woman immediately lives
tt2649128,movie,Metro,0,2013,"Action,Drama,Thriller",6.4,7737,car accident england american develops amnesia tries find
tt5037840,movie,Drunk Parents,0,2019,Comedy,4.0,7735,one first hungarian films confronting communist totalitarianism young
tt0097236,movie,Dream a Little Dream,0,1989,"Comedy,Drama,Romance",5.7,7674,following three lifelong friends return moscow military service
tt4649416,movie,Almost Christmas,0,2016,"Comedy,Drama,Romance",6.1,7668,young fairytale conceited man woman tyrannical stepmother must
tt4578118,movie,Rupture,0,2016,"Horror,Sci-Fi,Thriller",4.9,7637,army romanian officer habsburg ethnic apostol bologa torn
tt0107611,movie,Mr. Jones,0,1993,"Drama,Romance",5.8,7569,caretaker devotes three demented siblings fathers death
tt2357377,movie,Bereullin,0,2013,"Action,Thriller",6.6,7567,agents solo uncle napoleon illya kuryakin sent swiss
tt1985017,movie,Atlas Shrugged II: The Strike,0,2012,"Drama,Mystery,Sci-Fi",5.3,7559,carter meets toni impulsively marry find disagree everything
tt7460806,movie,The Festival,0,2018,"Comedy,Music,Romance",5.8,7551,timeless carpathian story young ivan falls love daughter
tt0963965,movie,Dolan's Cadillac,0,2009,"Crime,Thriller",5.6,7543,silver city naive farm boy cass newcomer saloon
tt3458510,movie,Dude,0,2018,"Comedy,Drama",5.1,7536,caribbean sailor tomboy daughter search buried treasure run
tt4465572,movie,American Woman,0,2018,"Drama,Mystery",6.8,7493,jancsi olh transitional phase adolescence adultness born getting
tt0106233,movie,Airborne,0,1993,"Adventure,Comedy,Sport",6.2,7487,captured final days wwii seventeenyearold boy wanders countryside
tt4400994,movie,The Ballad of Lefty Brown,0,2017,"Action,Drama,Western",6.3,7485,aliens constellation hydra crashland island sardinia prominent scientist
tt0082220,movie,Cutter's Way,0,1981,"Crime,Drama,Mystery",6.8,7476,biographical story michelangelos troubles painting sistine chapel urging
tt0097635,movie,Jésus de Montréal,0,1989,"Drama,Romance",7.5,7475,thcentury japan roughtempered yet charitable town doctor trains
tt1512888,movie,Aayirathil Oruvan,0,2010,"Action,Adventure",8.0,7475,city us secret agent sent distant space alphaville
tt1586001,movie,Veda,0,2010,"Biography,Drama,History",7.2,7473,bawdy story poor damsel surrenders virtue get top
tt0475783,movie,Welkkeom tu Dongmakgol,0,2005,"Comedy,Drama,War",7.6,7472,third anglique series heroine sent mission king louis
tt0459516,movie,Pudhu Pettai,0,2006,"Action,Crime,Drama",8.5,7470,quantrills quantrell gang almost destroyed two captured members
tt0253963,movie,Yedi Bela Hüsnü,0,1983,"Adventure,Comedy",7.7,7470,struggling artist fakes death works increase value
tt6580564,movie,102 Not Out,0,2018,"Comedy,Drama",7.4,7468,true story peter kurten serial killer committed nine
tt0065649,movie,Dodesukaden,0,1970,Drama,7.3,7467,island help group party goers trouble getting boat
tt0059221,movie,The Ghost and Mr. Chicken,0,1966,"Comedy,Family,Mystery",7.2,7466,texas woman young daughter head another town girls
tt9664078,movie,American Son,0,2019,Drama,5.9,7466,apartment hubby ted goes work ellen putters around
tt1549589,movie,Elles,0,2011,Drama,5.6,7459,fear violence escalate people algiers fight independence french
tt0094764,movie,The Blood of Heroes,0,1989,"Action,Sci-Fi,Sport",6.3,7457,dramatization nazi germanys final western front counterattack world
tt0060794,movie,Operazione paura,0,1966,"Horror,Mystery",6.9,7455,fourth highly successful frankie annette beach party movies
tt0109962,movie,Gwok chaan Ling Ling Chat,0,1994,"Action,Comedy,Thriller",7.1,7455,surfers brutally murdered culprit sea monster one teens
tt3645988,movie,Abgeschnitten,0,2018,"Action,Crime,Horror",6.5,7453,nudist panic fear strike hearts terrorised sunkissed girls
tt0089913,movie,Revolution,0,1985,"Adventure,Drama,History",5.3,7452,inept gang bank robbers led george brain caught
tt0091055,movie,Firewalker,0,1986,"Action,Adventure,Comedy",5.1,7447,new york psychiatrist solicited government agents connection former
tt1821478,movie,Kaavalan,0,2011,"Action,Comedy,Drama",7.0,7446,friend visits philandering mans scheme secretly simultaneously engaged
tt3845670,movie,Seoulyeok,0,2016,"Action,Animation,Horror",6.1,7443,ideal writer rick publisher daniel parks finally find
tt0458242,movie,Laitakaupungin valot,0,2006,"Crime,Drama",6.8,7441,françois young carpenter lives happy uncomplicated life wife
tt0186253,movie,Jesus' Son,0,1999,Drama,6.9,7440,heavy heart monsieur charles close parisian brothel following
tt2675978,movie,Dedh Ishqiya,0,2014,"Comedy,Drama,Romance",7.0,7440,tenderfoot becomes bounty hunter hopes making better future
tt2369396,movie,Bounty Killer,0,2013,"Action,Comedy,Sci-Fi",5.5,7440,scientist jim grayam saves boss wife suicide falls
tt1925518,movie,Tom yum goong 2,0,2013,Action,5.3,7439,british army fights rampaging locals india
tt0084945,movie,Zapped!,0,1982,"Comedy,Fantasy,Sci-Fi",4.9,7437,woman reports young daughter missing seems evidence ever
tt0371739,movie,The Zodiac,0,2005,"Crime,Drama,Horror",5.3,7436,young sailor returns home discover girl married older
tt0893532,movie,Kill Theory,0,2009,"Horror,Thriller",5.3,7433,career shakespeares sir john falstaff orson welles roistering
tt0071203,movie,Kanashimi no Beradonna,0,1973,"Animation,Drama,Fantasy",7.3,7433,marshal rumpo mistaken sanitary stodge city grip kid
tt0088007,movie,The River,0,1984,Drama,6.3,7433,amorous adventures andrea rossicolombotti army officer finds pleasure
tt0093660,movie,Nuts,0,1987,"Drama,Thriller",6.6,7433,young schoolteacher turns outlaw avenge murdered father
tt0109770,movie,The Fantastic Four,0,1994,"Action,Adventure,Family",3.8,7431,semiautobiographical story conrad rooks travels france undergo drugwithdrawal
tt1314177,movie,Damage,0,2009,"Action,Drama",5.7,7431,love karutthamma daughter hindu fisherman falls muslim fish
tt0110066,movie,Houseguest,0,1995,Comedy,5.9,7428,lion native village apparently terrorized local sergeant enlists
tt1305583,movie,Our Family Wedding,0,2010,"Comedy,Romance",5.0,7428,man kidnaps woman holds hostage pleasure
