tconst,titleType,originalTitle,isAdult,startYear,genres,averageRating,numVotes
tt0111161,movie,The Shawshank Redemption,0,1994,Drama,9.3,2832685
tt0468569,movie,The Dark Knight,0,2008,"Action,Crime,Drama",9.0,2814020
tt1375666,movie,Inception,0,2010,"Action,Adventure,Sci-Fi",8.8,2498225
tt0137523,movie,Fight Club,0,1999,Drama,8.8,2268359
tt0109830,movie,Forrest Gump,0,1994,"Drama,Romance",8.8,2207595
tt0110912,movie,Pulp Fiction,0,1994,"Crime,Drama",8.9,2172371
tt0816692,movie,Interstellar,0,2014,"Adventure,Drama,Sci-Fi",8.7,2028058
tt0133093,movie,The Matrix,0,1999,"Action,Sci-Fi",8.7,2013557
tt0068646,movie,The Godfather,0,1972,"Crime,Drama",9.2,1974293
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,0,2001,"Action,Adventure,Drama",8.8,1966705
tt0167260,movie,The Lord of the Rings: The Return of the King,0,2003,"Action,Adventure,Drama",9.0,1939763
tt1345836,movie,The Dark Knight Rises,0,2012,"Action,Drama,Thriller",8.4,1794461
tt0114369,movie,Se7en,0,1995,"Crime,Drama,Mystery",8.6,1758671
tt0167261,movie,The Lord of the Rings: The Two Towers,0,2002,"Action,Adventure,Drama",8.8,1748936
tt1853728,movie,Django Unchained,0,2012,"Drama,Western",8.5,1658347
tt0172495,movie,Gladiator,0,2000,"Action,Adventure,Drama",8.5,1585061
tt0372784,movie,Batman Begins,0,2005,"Action,Crime,Drama",8.2,1550316
tt0361748,movie,Inglourious Basterds,0,2009,"Adventure,Drama,War",8.4,1547060
tt0993846,movie,The Wolf of Wall Street,0,2013,"Biography,Comedy,Crime",8.2,1538025
tt0102926,movie,The Silence of the Lambs,0,1991,"Crime,Drama,Thriller",8.6,1515814
tt0120815,movie,Saving Private Ryan,0,1998,"Drama,War",8.6,1468276
tt0848228,movie,The Avengers,0,2012,"Action,Sci-Fi",8.0,1443218
tt7286456,movie,Joker,0,2019,"Crime,Drama,Thriller",8.4,1432312
tt0076759,movie,Star Wars,0,1977,"Action,Adventure,Fantasy",8.6,1427163
tt0108052,movie,Schindler's List,0,1993,"Biography,Drama,History",9.0,1423389
tt1130884,movie,Shutter Island,0,2010,"Mystery,Thriller",8.2,1417990
tt0482571,movie,The Prestige,0,2006,"Drama,Mystery,Sci-Fi",8.5,1413517
tt0407887,movie,The Departed,0,2006,"Crime,Drama,Thriller",8.5,1396695
tt0120689,movie,The Green Mile,0,1999,"Crime,Drama,Fantasy",8.6,1378659
tt0499549,movie,Avatar,0,2009,"Action,Adventure,Fantasy",7.9,1368397
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,0,1980,"Action,Adventure,Fantasy",8.7,1356284
tt0071562,movie,The Godfather Part II,0,1974,"Crime,Drama",9.0,1340010
tt0209144,movie,Memento,0,2000,"Mystery,Thriller",8.4,1300686
tt0088763,movie,Back to the Future,0,1985,"Adventure,Comedy,Sci-Fi",8.5,1280205
tt0120338,movie,Titanic,0,1997,"Drama,Romance",7.9,1257934
tt2015381,movie,Guardians of the Galaxy,0,2014,"Action,Adventure,Comedy",8.0,1254515
tt4154796,movie,Avengers: Endgame,0,2019,"Action,Adventure,Drama",8.4,1233790
tt0099685,movie,Goodfellas,0,1990,"Biography,Crime,Drama",8.7,1231425
tt0110413,movie,Léon,0,1994,"Action,Crime,Drama",8.5,1222878
tt0169547,movie,American Beauty,0,1999,Drama,8.3,1195874
tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,0,2003,"Action,Adventure,Fantasy",8.1,1187370
tt0910970,movie,WALL·E,0,2008,"Adventure,Animation,Family",8.4,1177619
tt4154756,movie,Avengers: Infinity War,0,2018,"Action,Adventure,Sci-Fi",8.4,1173035
tt0266697,movie,Kill Bill: Vol. 1,0,2003,"Action,Crime,Thriller",8.2,1170935
tt0120586,movie,American History X,0,1998,"Crime,Drama",8.5,1169586
tt0120382,movie,The Truman Show,0,1998,"Comedy,Drama",8.2,1164909
tt0434409,movie,V for Vendetta,0,2005,"Action,Drama,Sci-Fi",8.2,1164699
tt0103064,movie,Terminator 2: Judgment Day,0,1991,"Action,Sci-Fi",8.6,1154084
tt0114814,movie,The Usual Suspects,0,1995,"Crime,Drama,Mystery",8.5,1129235
tt0110357,movie,The Lion King,0,1994,"Adventure,Animation,Drama",8.5,1119687
tt0371746,movie,Iron Man,0,2008,"Action,Adventure,Sci-Fi",7.9,1107674
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,0,1983,"Action,Adventure,Fantasy",8.3,1103685
tt1049413,movie,Up,0,2009,"Adventure,Animation,Comedy",8.3,1103327
tt1431045,movie,Deadpool,0,2016,"Action,Comedy",8.0,1101294
tt0266543,movie,Finding Nemo,0,2003,"Adventure,Animation,Comedy",8.2,1094565
tt0081505,movie,The Shining,0,1980,"Drama,Horror",8.4,1086098
tt0112573,movie,Braveheart,0,1995,"Biography,Drama,History",8.3,1077336
tt0105236,movie,Reservoir Dogs,0,1992,"Crime,Thriller",8.3,1070330
tt0264464,movie,Catch Me If You Can,0,2002,"Biography,Crime,Drama",8.1,1066360
tt1392190,movie,Mad Max: Fury Road,0,2015,"Action,Adventure,Sci-Fi",8.1,1062995
tt0338013,movie,Eternal Sunshine of the Spotless Mind,0,2004,"Drama,Romance,Sci-Fi",8.3,1057640
tt0073486,movie,One Flew Over the Cuckoo's Nest,0,1975,Drama,8.7,1053902
tt0114709,movie,Toy Story,0,1995,"Adventure,Animation,Comedy",8.3,1049523
tt0107290,movie,Jurassic Park,0,1993,"Action,Adventure,Sci-Fi",8.2,1046522
