id,keys,words
862,931 4290 5202 6054 9713 9823 165503 170722 187065 ,jealousy toy boy friendship friends rivalry boy next door new toy toy comes to life 
8844,10090 10941 15101 33467 158086 158091 ,board game disappearance based on children's book new home recluse giant insect 
15602,1495 12392 179431 208510 ,fishing best friend duringcreditsstinger old men 
31357,818 10131 14768 15160 33455 ,based on novel interracial relationship single mother divorce chick flick 
11862,1009 1599 2246 4995 5600 10707 13149 33358 170521 ,baby midlife crisis confidence aging daughter mother daughter relationship pregnancy contraception gynecologist 
949,642 703 974 1523 3713 7281 9727 9812 9826 9937 10051 10085 10594 10726 15076 18023 34117 156121 159343 159434 167104 192261 207268 208009 214983 ,robbery detective bank obsession chase shooting thief honor murder suspense heist betrayal money gang cat and mouse criminal mastermind cult film ex-con heist movie one last job loner bank job neo-noir gun fight crime epic 
11860,90 380 2072 9398 9492 33626 ,paris brother brother relationship chauffeur long island fusion millionaire 
9091,949 1562 1653 193533 ,terrorist hostage explosive vice president 
710,701 769 1308 2812 3268 3272 3278 3376 3531 3560 3561 3562 3563 3564 193008 ,cuba falsely accused secret identity computer virus secret base secret intelligence service kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg russia ejection seat red army 
9087,833 840 1605 33476 211505 ,white house usa president new love widower wildlife conservation 
12110,3633 11931 ,dracula spoof 
21032,1994 6411 9880 15162 15169 158175 158370 158371 ,wolf dog-sledding race alaska dog goose bear attack dog sled frozen lake 
10858,840 2946 4240 5565 6086 6165 ,usa president presidential election watergate scandal biography government historical figure 
1408,911 1454 1969 3799 5470 12988 ,exotic island treasure map ship scalp pirate 
524,383 726 1228 2635 33625 ,poker drug abuse 1970s overdose illegal prostitution 
4584,420 818 964 2755 7564 10911 11109 15060 156507 156510 156512 ,bowling based on novel servant country life jane austen inheritance military officer period drama rainstorm horse and carriage decorum 
5,612 613 616 622 922 2700 12670 160488 187056 198129 ,hotel new year's eve witch bet hotel room sperm los angeles hoodlum woman director episode film 
9273,409 1551 2526 5155 ,africa indigenous human animal relationship bat 
11517,380 1552 14512 155735 156120 ,brother brother relationship subway new york city new york subway train robbery 
8012,395 416 818 8438 9826 9935 10391 10594 11061 11578 12094 12396 13142 14536 14819 14964 33879 159608 ,gambling miami based on novel job murder travel mafia money debt mobster business hollywood gangster crime violence drug producer con 
1710,796 2800 4668 5430 10714 11268 13001 ,police brutality psychology police operation police protection serial killer psychologist cowardliness 
9691,271 441 591 974 977 1666 2350 2708 3045 3979 9823 10084 10950 11148 12355 18107 33456 167861 178929 ,competition assassination cia bank cat mexican standoff seattle hitman mission of murder hidden camera rivalry rescue shootout police chase sniper rifle silencer double cross caribbean detroit michigan 
12665,7345 11325 18068 18320 41355 163531 163533 163534 163540 163543 163545 163552 163553 163558 ,dead animal shot to death teenage boy held at gunpoint teacher student relationship albino fainting jacobs ladder christ allegory psionic power healing power looking pale flickering light extrasensory perception 
451,30 549 567 585 699 725 887 888 922 3737 3927 6059 7464 12670 15237 155793 ,individual prostitute alcohol casino love at first sight lovesickness film producer screenwriter hotel room dying and death rage and hate unsociability alcoholism los angeles alcohol abuse attempted suicide 
16420,497 931 9713 17982 ,shakespeare jealousy friends moor 
9263,1228 5248 10683 170521 170533 170539 187056 ,1970s female friendship coming of age gynecologist photocopier truth or dare woman director 
17015,1316 33384 33386 33388 ,captain napoleonic wars old flame admiral 
902,402 1566 2041 4484 4565 4995 6054 10084 10103 14659 157955 ,clone dream island eye dystopia aging friendship rescue children girl childhood 
